Time_sec,Local_Field_Potential_mV
1.219,-0.047107
1.22,-0.094825
1.221,-0.076195
1.222,-0.070803
1.223,-0.095582
1.224,-0.09426
1.225,-0.092954
1.226,-0.056223
1.227,-0.003056
1.228,-0.0031949
1.229,-0.02573
1.23,-0.039523
1.231,-0.043106
1.232,-0.031761
1.233,-0.023461
1.234,-0.031352
1.235,-0.070012
1.236,-0.093405
1.237,-0.057501
1.238,-0.034949
1.239,-0.038993
1.24,-0.042536
1.241,-0.047194
1.242,-0.02763
1.243,-0.019137
1.244,-0.016312
1.245,-0.025215
1.246,-0.03651
1.247,-0.039395
1.248,-0.047384
1.249,-0.036167
1.25,-0.043437
1.251,-0.0037937
1.252,0.0053919
1.253,-0.020153
1.254,0.03921
1.255,0.044425
1.256,0.043164
1.257,0.083792
1.258,0.072311
1.259,0.073404
1.26,0.16267
1.261,0.19274
1.262,0.17484
1.263,0.18052
1.264,0.17216
1.265,0.17627
1.266,0.18734
1.267,0.22617
1.268,0.22103
1.269,0.17646
1.27,0.18079
1.271,0.15949
1.272,0.13198
1.273,0.11944
1.274,0.056232
1.275,0.013804
1.276,0.034406
1.277,0.050652
1.278,0.035008
1.279,0.033605
1.28,0.020137
1.281,0.013353
1.282,0.049378
1.283,0.085635
1.284,0.097155
1.285,0.080382
1.286,0.047707
1.287,0.034528
1.288,0.051332
1.289,0.087984
1.29,0.047268
1.291,0.032307
1.292,0.090087
1.293,0.076337
1.294,0.07658
1.295,0.098301
1.296,0.12037
1.297,0.12268
1.298,0.098549
1.299,0.097058
1.3,0.049034
1.301,0.0044017
1.302,-0.0011824
1.303,-0.0041615
1.304,0.017707
1.305,0.051115
1.306,0.085107
1.307,0.095314
1.308,0.072835
1.309,0.071051
1.31,0.10075
1.311,0.089733
1.312,0.042405
1.313,0.041689
1.314,0.027025
1.315,-0.029833
1.316,-0.042698
1.317,-0.023461
1.318,-0.0070999
1.319,0.020846
1.32,0.035177
1.321,0.034242
1.322,0.023158
1.323,0.05742
1.324,0.10232
1.325,0.094715
1.326,0.13372
1.327,0.15705
1.328,0.16654
1.329,0.15141
1.33,0.099548
1.331,0.068568
1.332,0.032888
1.333,-0.0066454
1.334,-0.068546
1.335,-0.083351
1.336,-0.086067
1.337,-0.10489
1.338,-0.11519
1.339,-0.13599
1.34,-0.11061
1.341,-0.094192
1.342,-0.082682
1.343,-0.056752
1.344,-0.051825
1.345,-0.043142
1.346,-0.059047
1.347,-0.09412
1.348,-0.11707
1.349,-0.14918
1.35,-0.19649
1.351,-0.2197
1.352,-0.22947
1.353,-0.232
1.354,-0.20207
1.355,-0.13919
1.356,-0.14965
1.357,-0.14404
1.358,-0.11976
1.359,-0.15963
1.36,-0.11563
1.361,-0.12297
1.362,-0.14683
1.363,-0.113
1.364,-0.15663
1.365,-0.18462
1.366,-0.19177
1.367,-0.19397
1.368,-0.17378
1.369,-0.15953
1.37,-0.17573
1.371,-0.23963
1.372,-0.21384
1.373,-0.18321
1.374,-0.18066
1.375,-0.090741
1.376,-0.042254
1.377,-0.020228
1.378,0.016063
1.379,0.022613
1.38,-0.007505
1.381,-0.017677
1.382,-0.006982
1.383,-0.023495
1.384,-0.065004
1.385,-0.067082
1.386,-0.038918
1.387,-0.048944
1.388,-0.054609
1.389,-0.027951
1.39,0.0029632
1.391,-0.024392
1.392,-0.012177
1.393,0.070925
1.394,0.11846
1.395,0.10212
1.396,0.10711
1.397,0.11757
1.398,0.11949
1.399,0.15832
1.4,0.099271
1.401,-0.0018271
1.402,-0.04921
1.403,-0.06508
1.404,-0.066862
1.405,-0.078136
1.406,-0.073589
1.407,-0.053729
1.408,-0.056709
1.409,-0.061487
1.41,-0.025328
1.411,-0.015374
1.412,-0.02836
1.413,0.0045273
1.414,0.045383
1.415,0.044662
1.416,0.098289
